Season,Region,Rank,Race,Count,Percentage
31,EU,Master,Random,451,8.812035951543571
31,EU,Master,Terran,1810,35.36537710042985
31,EU,Master,Zerg,1758,34.34935521688159
31,EU,Platinum,Protoss,4266,33.85714285714286
31,EU,Platinum,Random,1207,9.579365079365079
31,EU,Platinum,Terran,4179,33.166666666666664
31,EU,Platinum,Zerg,2948,23.396825396825395
31,EU,Silver,Protoss,452,26.448215330602693
31,EU,Silver,Random,134,7.840842598010532
31,EU,Silver,Terran,823,48.15681685196021
31,EU,Silver,Zerg,300,17.554125219426563
31,KR,Bronze,Protoss,1,16.666666666666664
31,KR,Bronze,Random,3,50.0
31,KR,Bronze,Zerg,2,33.33333333333333
31,KR,Diamond,Protoss,5815,26.230321620280574
31,KR,Diamond,Random,2067,9.32383057422527
31,KR,Diamond,Terran,8071,36.406694032207135
31,KR,Diamond,Zerg,6216,28.039153773287023
31,KR,Gold,Protoss,515,30.81986834230999
31,KR,Gold,Random,123,7.360861759425494
31,KR,Gold,Terran,709,42.4296828246559
31,KR,Gold,Zerg,324,19.389587073608617
31,KR,Grandmaster,Protoss,545,26.88702516033547
31,KR,Grandmaster,Random,98,4.834731129748397
31,KR,Grandmaster,Terran,801,39.51652688702516
31,KR,Grandmaster,Zerg,583,28.76171682289097
31,KR,Master,Protoss,736,21.62162162162162
31,KR,Master,Random,279,8.196239717978848
31,KR,Master,Terran,1387,40.74618096357227
31,KR,Master,Zerg,1002,29.435957696827263
31,KR,Platinum,Protoss,2400,32.34501347708895
31,KR,Platinum,Random,579,7.803234501347708
31,KR,Platinum,Terran,2897,39.04312668463612
31,KR,Platinum,Zerg,1544,20.808625336927225
31,KR,Silver,Protoss,46,30.87248322147651
31,KR,Silver,Random,9,6.0402684563758395
31,KR,Silver,Terran,60,40.26845637583892
31,KR,Silver,Zerg,34,22.818791946308725
31,US,Bronze,Protoss,10,23.25581395348837
31,US,Bronze,Random,11,25.581395348837212
31,US,Bronze,Terran,16,37.2093023255814
31,US,Bronze,Zerg,6,13.953488372093023
31,US,Diamond,Protoss,7403,25.010135135135137
31,US,Diamond,Random,3281,11.08445945945946
31,US,Diamond,Terran,8939,30.199324324324323
31,US,Diamond,Zerg,9977,33.70608108108108
31,US,Gold,Protoss,1562,30.2186109498936
31,US,Gold,Random,469,9.073321725672278
31,US,Gold,Terran,2034,39.34997098084736
31,US,Gold,Zerg,1104,21.358096343586766
31,US,Grandmaster,Protoss,638,22.464788732394368
31,US,Grandmaster,Random,177,6.232394366197183
31,US,Grandmaster,Terran,1014,35.70422535211268
31,US,Grandmaster,Zerg,1011,35.598591549295776
31,US,Master,Protoss,1121,21.311787072243344
31,US,Master,Random,437,8.307984790874524
31,US,Master,Terran,1858,35.32319391634981
31,US,Master,Zerg,1844,35.057034220532316
31,US,Platinum,Protoss,3624,31.513043478260872
31,US,Platinum,Random,1230,10.695652173913043
31,US,Platinum,Terran,3911,34.00869565217391
31,US,Platinum,Zerg,2735,23.782608695652176
31,US,Silver,Protoss,361,26.505139500734217
31,US,Silver,Random,124,9.104258443465492
31,US,Silver,Terran,609,44.713656387665196
31,US,Silver,Zerg,268,19.676945668135097
32,CN,Bronze,Protoss,3,50.0
32,CN,Bronze,Terran,2,33.33333333333333
32,CN,Bronze,Zerg,1,16.666666666666664
32,CN,Diamond,Protoss,3985,23.100110138542693
32,CN,Diamond,Random,1501,8.700944872761
32,CN,Diamond,Terran,5960,34.54872181322822
32,CN,Diamond,Zerg,5805,33.65022317546809
32,CN,Gold,Protoss,1262,38.97467572575664
32,CN,Gold,Random,206,6.361951822112415
32,CN,Gold,Terran,1108,34.218653489808524
32,CN,Gold,Zerg,662,20.444718962322423
32,CN,Grandmaster,Protoss,328,28.422876949740033
32,CN,Grandmaster,Random,66,5.719237435008666
32,CN,Grandmaster,Terran,399,34.575389948006936
32,CN,Grandmaster,Zerg,361,31.28249566724437
32,CN,Master,Protoss,544,21.29992169146437
32,CN,Master,Random,185,7.243539545810493
32,CN,Master,Terran,1025,40.133124510571655
32,CN,Master,Zerg,800,31.323414252153487
32,CN,Platinum,Protoss,2697,33.063626333210735
32,CN,Platinum,Random,603,7.3924236851783744
32,CN,Platinum,Terran,2916,35.7484369253402
32,CN,Platinum,Zerg,1941,23.795513056270686
32,CN,Silver,Protoss,198,35.93466424682396
32,CN,Silver,Random,43,7.80399274047187
32,CN,Silver,Terran,204,37.02359346642468
32,CN,Silver,Zerg,106,19.237749546279492
32,EU,Bronze,Protoss,10,25.64102564102564
32,EU,Bronze,Random,8,20.51282051282051
32,EU,Bronze,Terran,10,25.64102564102564
32,EU,Bronze,Zerg,11,28.205128205128204
32,EU,Diamond,Protoss,6946,25.184916606236403
32,EU,Diamond,Random,2965,10.750543872371283
32,EU,Diamond,Terran,8165,29.604786076867295
32,EU,Diamond,Zerg,9504,34.45975344452502
32,EU,Gold,Protoss,1730,33.29484218629715
32,EU,Gold,Random,423,8.140877598152425
32,EU,Gold,Terran,2039,39.241724403387224
32,EU,Gold,Zerg,1004,19.322555812163202
32,EU,Grandmaster,Protoss,650,23.88827636898199
32,EU,Grandmaster,Random,120,4.410143329658213
32,EU,Grandmaster,Terran,964,35.42815141492098
32,EU,Grandmaster,Zerg,987,36.27342888643881
32,EU,Master,Protoss,1024,21.91780821917808
32,EU,Master,Random,414,8.861301369863012
32,EU,Master,Terran,1588,33.98972602739726
32,EU,Master,Zerg,1646,35.23116438356164
32,EU,Platinum,Protoss,3708,32.83740701381509
32,EU,Platinum,Random,1078,9.546581650726178
32,EU,Platinum,Terran,3884,34.396032589443855
32,EU,Platinum,Zerg,2622,23.219978746014878
32,EU,Silver,Protoss,366,25.206611570247933
32,EU,Silver,Random,111,7.644628099173553
32,EU,Silver,Terran,702,48.34710743801653
32,EU,Silver,Zerg,273,18.801652892561986
32,KR,Bronze,Protoss,3,50.0
32,KR,Bronze,Random,2,33.33333333333333
32,KR,Bronze,Zerg,1,16.666666666666664
32,KR,Diamond,Protoss,5407,25.903037271246525
32,KR,Diamond,Random,1920,9.198045415349238
32,KR,Diamond,Terran,7555,36.19335057966849
32,KR,Diamond,Zerg,5992,28.70556673373575
32,KR,Gold,Protoss,473,32.17687074829932
32,KR,Gold,Random,101,6.870748299319727
32,KR,Gold,Terran,628,42.72108843537415
32,KR,Gold,Zerg,268,18.231292517006803
32,KR,Grandmaster,Protoss,538,27.63225475089882
32,KR,Grandmaster,Random,93,4.776579352850539
32,KR,Grandmaster,Terran,752,38.62352336928608
32,KR,Grandmaster,Zerg,564,28.96764252696456
32,KR,Master,Protoss,661,21.5590345727332
32,KR,Master,Random,245,7.9908675799086755
32,KR,Master,Terran,1252,40.834964122635355
32,KR,Master,Zerg,908,29.615133724722764
32,KR,Platinum,Protoss,2266,32.05091937765205
32,KR,Platinum,Random,525,7.425742574257425
32,KR,Platinum,Terran,2839,40.155586987270155
32,KR,Platinum,Zerg,1440,20.367751060820368
32,KR,Silver,Protoss,33,25.0
32,KR,Silver,Random,11,8.333333333333332
32,KR,Silver,Terran,61,46.21212121212121
32,KR,Silver,Zerg,27,20.454545454545457
32,US,Bronze,Protoss,9,21.428571428571427
32,US,Bronze,Random,13,30.952380952380953
32,US,Bronze,Terran,14,33.33333333333333
32,US,Bronze,Zerg,6,14.285714285714285
32,US,Diamond,Protoss,6889,24.891602832779302
32,US,Diamond,Random,3115,11.255239196415667
32,US,Diamond,Terran,8384,30.29339499927735
32,US,Diamond,Zerg,9288,33.55976297152768
32,US,Gold,Protoss,1474,30.44825449287337
32,US,Gold,Random,452,9.336913860772569
32,US,Gold,Terran,1926,39.785168353645936
32,US,Gold,Zerg,989,20.42966329270812
32,US,Grandmaster,Protoss,640,22.86530903894248
32,US,Grandmaster,Random,166,5.930689531975706
32,US,Grandmaster,Terran,1004,35.86995355484102
32,US,Grandmaster,Zerg,989,35.334047874240795
32,US,Master,Protoss,1026,20.862139080927207
32,US,Master,Random,446,9.068727124847499
32,US,Master,Terran,1716,34.8922326148841
32,US,Master,Zerg,1730,35.17690117934119
32,US,Platinum,Protoss,3496,32.05281012194004
32,US,Platinum,Random,1188,10.892087650132943
32,US,Platinum,Terran,3714,34.05152654258733
32,US,Platinum,Zerg,2509,23.00357568533969
32,US,Silver,Protoss,316,25.381526104417674
32,US,Silver,Random,115,9.236947791164658
32,US,Silver,Terran,589,47.30923694779116
32,US,Silver,Zerg,225,18.072289156626507
33,CN,Bronze,Protoss,5,41.66666666666667
33,CN,Bronze,Random,1,8.333333333333332
33,CN,Bronze,Terran,4,33.33333333333333
33,CN,Bronze,Zerg,2,16.666666666666664
33,CN,Diamond,Protoss,4657,23.705777551539832
33,CN,Diamond,Random,1823,9.279714940188342
33,CN,Diamond,Terran,6684,34.02392466276406
33,CN,Diamond,Zerg,6481,32.99058284550777
33,CN,Gold,Protoss,1561,38.101049548450085
33,CN,Gold,Random,266,6.4925555284354415
33,CN,Gold,Terran,1424,34.75713937027093
33,CN,Gold,Zerg,846,20.64925555284354
33,CN,Grandmaster,Protoss,380,30.669895076674734
33,CN,Grandmaster,Random,67,5.407586763518967
33,CN,Grandmaster,Terran,383,30.912025827280065
33,CN,Grandmaster,Zerg,409,33.01049233252623
33,CN,Master,Protoss,631,22.854038391886995
33,CN,Master,Random,201,7.279971024990946
33,CN,Master,Terran,1051,38.06591814559942
33,CN,Master,Zerg,878,31.800072437522637
33,CN,Platinum,Protoss,3305,34.08973697782362
33,CN,Platinum,Random,753,7.76689014956163
33,CN,Platinum,Terran,3317,34.2135121196493
33,CN,Platinum,Zerg,2320,23.929860752965446
33,CN,Silver,Protoss,268,34.89583333333333
